"T","R0"
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,2.6065407890459e-06
14,0.00441819804890531
14.1,0.0199281767103339
14.2,0.049177322085949
14.3,0.0927450783110262
14.4,0.150561776792418
14.5,0.224718093533873
14.6,0.322088299157727
14.7,0.434986165702421
14.8,0.568012063386609
14.9,0.723480033804532
15,0.901727519165173
15.1,1.10239790101451
15.2,1.33607567910302
15.3,1.59667909330644
15.4,1.88713645377342
15.5,2.22330985570695
15.6,2.58764909825122
15.7,2.9944340075153
15.8,3.43002958642625
15.9,3.90022303200389
16,4.4078648582083
16.1,4.96563935602418
16.2,5.57273304346864
16.3,6.20538420068222
16.4,6.88906263647174
16.5,7.62600526374841
16.6,8.4011715391217
16.7,9.22921637190376
16.8,10.11989927409
16.9,11.0457203993189
17,12.0533352312168
17.1,13.1018206183344
17.2,14.2067265717704
17.3,15.3902945632159
17.4,16.6169931966384
17.5,17.9361651091072
17.6,19.2973146919383
17.7,20.6902953696614
17.8,22.1917201890233
17.9,23.7307992105234
18,25.3608133373647
18.1,27.0447985434289
18.2,28.8071490798507
18.3,30.6206720599434
18.4,32.4693208954611
18.5,34.3859405781042
18.6,36.380625309182
18.7,38.4654715111508
18.8,40.6099490650014
18.9,42.8083227898082
19,45.0422053500875
19.1,47.3287846942475
19.2,49.7168100195812
19.3,52.180426471574
19.4,54.7299044499286
19.5,57.3229682053303
19.6,59.9501136323635
19.7,62.6266104497186
19.8,65.4141220479157
19.9,68.2558395416053
20,71.1423793721652
20.1,74.1158974404377
20.2,77.1295477174404
20.3,80.1972988295489
20.4,83.3337869305896
20.5,86.503575316208
20.6,89.6860804584082
20.7,92.9550808285177
20.8,96.2170416196363
20.9,99.5463737916897
21,102.897150914885
21.1,106.253898863455
21.2,109.598129772773
21.3,113.093298050013
21.4,116.58608890359
21.5,120.030346023275
21.6,123.592429328753
21.7,127.121868926048
21.8,130.630834331374
21.9,134.147665133704
22,137.679770511534
22.1,141.174426879919
22.2,144.635576171119
22.3,148.08438418332
22.4,151.5280749952
22.5,154.993178025807
22.6,158.436951905671
22.7,161.857816765021
22.8,165.236865626728
22.9,168.466586766617
23,171.623809876008
23.1,174.7067602971
23.2,177.819246815239
23.3,180.90989658513
23.4,183.859573871545
23.5,186.704470177442
23.6,189.404504355758
23.7,192.119525839858
23.8,194.661055667914
23.9,197.03919754512
24,199.351652180422
24.1,201.623118514169
24.2,203.780740783449
24.3,205.813693431193
24.4,207.608122232462
24.5,209.390918639193
24.6,211.012087874032
24.7,212.479887920924
24.8,213.784558562252
24.9,214.997176758145
25,216.00264538252
25.1,216.844630674436
25.2,217.47700511131
25.3,217.876305390146
25.4,218.280379896331
25.5,218.35684673688
25.6,218.380520188358
25.7,218.190399986557
25.8,217.871244033243
25.9,217.243097475609
26,216.508753893232
26.1,215.655366289083
26.2,214.430809791053
26.3,213.344182463022
26.4,211.889979864832
26.5,210.276150081923
26.6,208.380376190347
26.7,206.443174248118
26.8,204.210796052775
26.9,201.82971608644
27,199.245866859605
27.1,196.470017438493
27.2,193.503225068345
27.3,190.409316956207
27.4,186.969429660039
27.5,183.602795617374
27.6,179.97293767363
27.7,176.056794921173
27.8,172.162527632641
27.9,168.087952675955
28,163.881077620021
28.1,159.471168688009
28.2,155.04491294525
28.3,150.425045779867
28.4,145.551403217211
28.5,140.849543766747
28.6,135.693211019619
28.7,130.718124217571
28.8,125.534445104693
28.9,120.218381280759
29,114.833684042346
29.1,109.487913996117
29.2,103.94219944404
29.3,98.4377107970108
29.4,93.0118352204522
29.5,87.4880377814869
29.6,82.0225093503757
29.7,76.5156238290496
29.8,71.103362795325
29.9,65.7716158483499
30,60.5140480350552
30.1,55.3206830487569
30.2,50.2414072504637
30.3,45.1784066651543
30.4,40.2457505028471
30.5,35.3671529974575
30.6,30.6879365930435
30.7,26.2534680910656
30.8,21.9146045567387
30.9,17.6779570634416
31,13.8910096751824
31.1,10.4488104932287
31.2,7.20605883786677
31.3,4.38048891318384
31.4,2.03151852622457
31.5,0.427825359634973
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
